0 Draven/Sion,1 Nami/Zoe,2 Poppy/Ziggs,3 Senna/Veigar,4 GP/TF,5 Fizz/Poppy,6 Pyke/Rek'Sai,7 Lulu/Poppy(BC/DE),8 Ez/Vi,9 GP/Sejuani,10 Caitlyn/Draven,11 Akshan/Sivir,12 Poppy/Zed,13 Trundle/Tryndamere,14 Lulu/Poppy(DE/IO),15 Caitlyn/Teemo,16 Lee/Zoe,17 Xerath/Zilean,18 Fizz/Lulu/Poppy,19 GP/MF
0.5,0.36,0.68,0.51,0.49,0.54,0.68,0.65,0.56,0.53,0.78,0.72,0.59,0.51,0.58,0.6,0.29,0.57,0.56,0.63
0.64,0.5,0.42,0.46,0.63,0.56,0.42,0.41,0.49,0.55,0.5,0.46,0.39,0.56,0.35,0.68,0.48,0.65,0.58,0.38
0.32,0.58,0.5,0.55,0.52,0.51,0.65,0.57,0.61,0.61,0.58,0.6,0.57,0.52,0.55,0.73,0.39,0.73,0.54,0.61
0.49,0.54,0.45,0.5,0.57,0.28,0.44,0.37,0.53,0.45,0.6,0.4,0.37,0.56,0.33,0.48,0.72,0.53,0.31,0.65
0.51,0.37,0.48,0.43,0.5,0.64,0.63,0.57,0.63,0.5,0.72,0.49,0.51,0.32,0.55,0.66,0.4,0.6,0.68,0.66
0.46,0.44,0.49,0.72,0.36,0.5,0.56,0.42,0.6,0.54,0.52,0.48,0.51,0.72,0.51,0.55,0.68,0.59,0.43,0.54
0.32,0.58,0.35,0.56,0.37,0.44,0.5,0.47,0.62,0.46,0.49,0.5,0.35,0.58,0.37,0.63,0.53,0.51,0.45,0.42
0.35,0.59,0.43,0.63,0.43,0.58,0.53,0.5,0.5,0.56,0.34,0.54,0.48,0.58,0.4,0.71,0.6,0.52,0.58,0.51
0.44,0.51,0.39,0.47,0.37,0.4,0.38,0.5,0.5,0.31,0.58,0.36,0.61,0.35,0.63,0.6,0.7,0.53,0.4,0.54
0.47,0.45,0.39,0.55,0.5,0.46,0.54,0.44,0.69,0.5,0.55,0.53,0.4,0.47,0.43,0.57,0.49,0.72,0.51,0.48
0.22,0.5,0.42,0.4,0.28,0.48,0.51,0.66,0.42,0.45,0.5,0.53,0.61,0.38,0.68,0.53,0.47,0.47,0.46,0.43
0.28,0.54,0.4,0.6,0.51,0.52,0.5,0.46,0.64,0.47,0.47,0.5,0.48,0.57,0.52,0.55,0.61,0.58,0.56,0.52
0.41,0.61,0.43,0.63,0.49,0.49,0.65,0.52,0.39,0.6,0.39,0.52,0.5,0.58,0.5,0.78,0.67,0.61,0.56,0.5
0.49,0.44,0.48,0.44,0.68,0.28,0.42,0.42,0.65,0.53,0.62,0.43,0.42,0.5,0.51,0.48,0.36,0.61,0.3,0.69
0.42,0.65,0.45,0.67,0.45,0.49,0.63,0.6,0.37,0.57,0.32,0.48,0.5,0.49,0.5,0.75,0.68,0.65,0.62,0.53
0.4,0.32,0.27,0.52,0.34,0.45,0.37,0.29,0.4,0.43,0.47,0.45,0.22,0.52,0.25,0.5,0.45,0.69,0.52,0.3
0.71,0.52,0.61,0.28,0.6,0.32,0.47,0.4,0.3,0.51,0.53,0.39,0.33,0.64,0.32,0.55,0.5,0.6,0.41,0.57
0.43,0.35,0.27,0.47,0.4,0.41,0.49,0.48,0.47,0.28,0.53,0.42,0.39,0.39,0.35,0.31,0.4,0.5,0.48,0.29
0.44,0.42,0.46,0.69,0.32,0.57,0.55,0.42,0.6,0.49,0.54,0.44,0.44,0.7,0.38,0.48,0.59,0.52,0.5,0.56
0.37,0.62,0.39,0.35,0.34,0.46,0.58,0.49,0.46,0.52,0.57,0.48,0.5,0.31,0.47,0.7,0.43,0.71,0.44,0.5
